referant,cohort,rhyme,distractor,target,condition
beaker,beetle,speaker,castle,beaker,1
carrot,carriage,parrot,nickel,carrot,1
candle,candy,handle,dollar,candle,1
pickle,picture,nickel,speaker,picture,2
casket,castle,basket,sandal,castle,2
paddle,padlock,saddle,dollar,padlock,2
dollar,dolphin,collar,castle,collar,3
carrot,carriage,parrot,sandwich,parrot,3
beaker,beetle,speaker,dolphin,speaker,3
candle,candy,sandal,dolphin,dolphin,4
pickle,picture,nickel,sandwich,sandwich,4
paddle,padlock,saddle,candy,candy,4
beetle,beaker,carriage,picture,beetle,5
carriage,carrot,padlock,sandwich,carriage,5
sandwich,sandal,casket,collar,sandwich,5
picture,pickle,candle,basket,pickle,6
saddle,sandal,beetle,picture,sandal,6
castle,casket,dolphin,handle,casket,6
candy,carrot,speaker,paddle,paddle,7
parrot,padlock,collar,saddle,saddle,7
candle,castle,basket,dolphin,dolphin,7
nickel,handle,pickle,castle,nickel,8
dollar,basket,collar,handle,dollar,8
basket,parrot,casket,sandal,basket,8
sandal,candy,handle,nickel,handle,9
nickel,paddle,pickle,beaker,pickle,9
speaker,parrot,beaker,carriage,beaker,9
parrot,picture,carrot,dollar,dollar,10
dollar,beetle,collar,candle,candle,10
casket,sandwich,basket,padlock,padlock,10
carrot,saddle,speaker,beetle,carrot,11
handle,casket,picture,sandwich,handle,11
collar,paddle,beaker,carriage,collar,11
saddle,padlock,pickle,candy,candy,12
dolphin,speaker,candy,paddle,paddle,12
sandwich,pickle,candle,parrot,parrot,12
